City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kirakira,SB,2022-02-12 15:12:33,-10.4544,161.9205,77.74,88,100,4.74,overcast clouds
60,San Policarpo,PH,2022-02-12 15:12:34,12.1791,125.5072,78.49,86,100,13.0,overcast clouds
61,Saskylakh,RU,2022-02-12 15:12:34,71.9167,114.0833,1.09,77,38,13.94,scattered clouds
62,Sitka,US,2022-02-12 15:12:34,57.0531,-135.33,42.69,81,100,12.66,heavy intensity rain
63,Nalut,LY,2022-02-12 15:12:35,30.3333,10.85,63.46,22,4,3.44,clear sky
64,Pevek,RU,2022-02-12 15:12:35,69.7008,170.3133,-26.3,98,100,8.34,overcast clouds
65,Muravlenko,RU,2022-02-12 15:12:35,63.7898,74.523,-9.06,98,6,12.26,clear sky
66,Vao,NC,2022-02-12 15:12:35,-22.6667,167.4833,80.15,82,100,5.12,overcast clouds
67,Ribeira Grande,PT,2022-02-12 15:12:36,38.5167,-28.7,63.0,77,20,19.57,few clouds
68,Souillac,MU,2022-02-12 15:12:36,-20.5167,57.5167,80.37,74,50,8.61,scattered clouds
69,Nador,MA,2022-02-12 15:12:36,35.174,-2.9287,61.05,63,20,5.75,few clouds
70,Bonthe,SL,2022-02-12 15:12:37,7.5264,-12.505,88.47,54,18,15.3,few clouds
71,Sosua,DO,2022-02-12 15:12:37,19.7667,-70.5167,85.98,74,20,11.5,few clouds
72,Cape Town,ZA,2022-02-12 15:09:03,-33.9258,18.4232,77.11,64,89,3.0,overcast clouds
73,Bredasdorp,ZA,2022-02-12 15:12:37,-34.5322,20.0403,78.21,56,29,12.55,scattered clouds
74,Kapaa,US,2022-02-12 15:12:38,22.0752,-159.319,67.98,97,40,3.44,scattered clouds
75,Maragheh,IR,2022-02-12 15:12:38,37.3917,46.2398,29.03,81,14,4.07,few clouds
76,Caravelas,BR,2022-02-12 15:12:38,-17.7125,-39.2481,85.23,59,98,9.04,overcast clouds
