City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Thompson,CA,2022-02-05 00:18:46,55.7435,-97.8558,-18.24,69,20,5.75
68,Chokurdakh,RU,2022-02-05 00:18:46,70.6333,147.9167,-31.16,100,26,2.19
69,Port Elizabeth,ZA,2022-02-05 00:18:46,-33.918,25.5701,66.49,82,40,6.91
70,Hervey Bay,AU,2022-02-05 00:18:47,-25.2986,152.8535,83.03,63,24,15.99
71,Huarmey,PE,2022-02-05 00:18:47,-10.0681,-78.1522,71.69,81,14,10.49
72,Kahului,US,2022-02-05 00:13:52,20.8947,-156.47,83.46,69,20,14.97
73,Richards Bay,ZA,2022-02-05 00:18:48,-28.783,32.0377,71.29,93,100,16.2
74,Constitucion,CL,2022-02-05 00:18:48,-35.3333,-72.4167,60.98,82,12,14.79
75,Nouakchott,MR,2022-02-05 00:18:49,18.0858,-15.9785,69.73,41,0,11.01
76,Garowe,SO,2022-02-05 00:18:49,8.4054,48.4845,63.46,46,21,10.0
77,Black River,JM,2022-02-05 00:18:49,18.0264,-77.8487,80.6,78,38,1.97
78,Verkhnyaya Inta,RU,2022-02-05 00:18:50,65.9811,60.3094,4.33,98,99,5.53
79,Namibe,AO,2022-02-05 00:18:50,-15.1961,12.1522,71.42,72,68,7.05
80,Paripiranga,BR,2022-02-05 00:18:50,-10.6875,-37.8617,72.14,80,36,9.57
81,Qaanaaq,GL,2022-02-05 00:18:51,77.484,-69.3632,0.05,70,100,7.25
82,Ponta Do Sol,PT,2022-02-05 00:18:51,32.6667,-17.1,66.7,66,100,3.36
83,Tumpat,MY,2022-02-05 00:18:52,6.1978,102.171,80.65,83,20,10.36
84,Saldanha,ZA,2022-02-05 00:18:52,-33.0117,17.9442,62.15,72,0,14.14
85,Hofn,IS,2022-02-05 00:18:52,64.2539,-15.2082,24.94,64,35,17.36
86,Castro,BR,2022-02-05 00:18:53,-24.7911,-50.0119,66.42,98,92,3.78
87,Thessalon,CA,2022-02-05 00:18:53,46.2501,-83.5666,7.56,89,71,3.96
88,Lata,PT,2022-02-05 00:18:54,40.1629,-8.3327,48.06,96,100,2.26
89,College,US,2022-02-05 00:19:54,64.8569,-147.8028,6.58,62,75,5.75
90,Nikolskoye,RU,2022-02-05 00:19:54,59.7035,30.7861,17.8,89,80,11.83
91,New Norfolk,AU,2022-02-05 00:19:55,-42.7826,147.0587,67.66,54,45,3.09
92,East London,ZA,2022-02-05 00:17:35,-33.0153,27.9116,68.9,85,99,7.74
93,Lompoc,US,2022-02-05 00:19:55,34.6391,-120.4579,68.68,45,0,10.36
94,Pevek,RU,2022-02-05 00:19:56,69.7008,170.3133,-22.92,100,95,5.48
95,Mogadishu,SO,2022-02-05 00:19:56,2.0371,45.3438,75.92,86,56,18.77
96,Hobart,AU,2022-02-05 00:17:44,-42.8794,147.3294,68.02,71,75,1.01
97,Phan Thiet,VN,2022-02-05 00:15:10,10.9333,108.1,73.83,71,100,7.31
98,Erenhot,CN,2022-02-05 00:19:57,43.6475,111.9767,1.18,88,7,9.75
99,Goderich,CA,2022-02-05 00:19:57,43.7501,-81.7165,15.91,78,100,3.44
100,Clyde River,CA,2022-02-05 00:19:57,70.4692,-68.5914,-7.37,77,100,5.75
101,Hithadhoo,MV,2022-02-05 00:19:58,-0.6,73.0833,81.55,73,85,11.43
102,Homer,US,2022-02-05 00:19:58,59.6425,-151.5483,35.49,82,75,0.0
103,Porto Walter,BR,2022-02-05 00:19:59,-8.2686,-72.7439,75.11,85,100,2.91
