City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
134,Mount Gambier,AU,61.38,broken clouds,-37.8333,140.7667,The Commodore
135,Nueva Concepcion,GT,87.17,clear sky,14.2,-91.3,Hotel Villa Las Flores
136,Dingle,PH,75.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
141,Kinston,US,62.51,clear sky,35.2627,-77.5816,Hampton Inn Kinston
142,East London,ZA,83.34,few clouds,-33.0153,27.9116,Tu Casa
143,Erzin,TR,63.12,clear sky,36.9559,36.2,Artemis Otel
145,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
146,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
147,Tadine,NC,79.54,overcast clouds,-21.55,167.8833,
153,Markapur,IN,74.46,clear sky,15.7333,79.2833,VIHARI GRAND INN
154,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
157,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
160,Sechura,PE,75.97,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
161,Constitucion,CL,72.39,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
163,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
167,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
169,Port Lincoln,AU,68.38,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
170,Sao Filipe,CV,80.69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
173,Ratnagiri,IN,76.24,clear sky,16.9833,73.3,Hotel Landmark
178,Carahue,CL,77.2,few clouds,-38.7,-73.1667,Hospedaje Familiar
180,Mar Del Plata,AR,64.42,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
182,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
183,Bubaque,GW,82.44,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
184,Namibe,AO,82.04,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
186,Tucuma,BR,83.68,scattered clouds,-0.1833,-50.05,
187,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
188,Kalemie,CD,76.32,broken clouds,-5.9475,29.1947,Mahobilali
190,Pochutla,MX,78.62,clear sky,15.7432,-96.4661,Hotel Posada San Jose
191,Yanam,IN,79.2,few clouds,16.7333,82.2167,The Regency Hotel
196,Lodja,CD,88.27,overcast clouds,-3.4833,23.4333,
197,Todos Santos,MX,67.01,few clouds,23.45,-110.2167,Hotel California Todos Santos
198,Byron Bay,AU,69.87,broken clouds,-28.65,153.6167,Backpackers Inn
199,Saldanha,ZA,66.79,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
201,Mahajanga,MG,82.13,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
202,Rocha,UY,68.63,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
203,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
204,Nedjo,ET,74.77,broken clouds,9.5046,35.5019,Yerosan Hotel
210,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
